District,Village,HH_ID,Burnt,Latitude (Baseline measurement),Longitude_Baseline_measurement,Latitude_Endline_measurement,Longitude_Endline_measurement,Latitude_CCE_measurement,Longitude_CCE_measurement,Lat_Median,Lon_Median
Fategharh,Shadipur,164516,Y,,,,,,,,
Fategharh,Shadipur,164523,Y,,,,,30.750143,76.435806,30.750143,76.435806
Fategharh,Shadipur,164524,Y,30.75179,76.42952833,,,,,30.75179,76.42952833
Fategharh,Shadipur,164526,Y,30.75063333,76.43297,,,30.750294,76.433396,30.75046367,76.433183
Fategharh,Shadipur,164527,Y,30.75266333,76.430905,,,30.451247,76.25296,30.60195517,76.3419325
Fategharh,Shadipur,164530,Y,30.74886,76.43488,,,30.451746,76.254672,30.600303,76.344776
Fategharh,Shadipur,164531,Y,30.751745,76.432805,,,30.450874,76.253968,30.6013095,76.3433865
Fatehabad,Bangram,205401,Y,,,,,29.4512,75.4125,29.4512,75.4125
Fatehabad,Bangram,205406,N,29.43183667,75.42582667,,,29.4301,75.4283,29.43096834,75.42706334
Fatehabad,Bangram,205408,Y,29.449665,75.424135,,,29.4457,75.3995,29.4476825,75.4118175
Fatehabad,Bangram,205411,Y,,,,,29.449,75.4143,29.449,75.4143
Fatehabad,Bangram,205416,Y,,,,,29.2705,75.2431,29.2705,75.2431
Fatehabad,Bangram,205422,Y,,,,,29.4641,75.4241,29.4641,75.4241
Fatehabad,Bangram,205430,Y,,,,,29.4676,75.4165,29.4676,75.4165
Fatehabad,Bangram,205441,Y,,,,,29.4625,75.4141,29.4625,75.4141
Fatehabad,Hasinga,226101,N,29.60308,75.61711833,,,29.609096,75.617031,29.606088,75.61707467
Fatehabad,Hasinga,226106,N,,,,,29.5906,75.6653,29.5906,75.6653
Fatehabad,Hasinga,226107,N,29.59551833,75.62518333,,,29.595322,75.625797,29.59542017,75.62549017
Fatehabad,Hasinga,226108,N,,,,,29.5951,75.621,29.5951,75.621
Fatehabad,Hasinga,226115,N,,,,,29.5965,75.6149,29.5965,75.6149
Fatehabad,Hasinga,226116,N,29.58928,75.6186,,,29.5894,75.619,29.58934,75.6188
Fatehabad,Hasinga,226117,N,,,,,29.5791,75.6172,29.5791,75.6172
Fatehabad,Hasinga,226119,N,29.60262833,75.61756833,,,29.601875,75.61211,29.60225167,75.61483917
Fatehabad,Hasinga,226129,N,29.60284667,75.617785,,,29.5796,75.6205,29.59122334,75.6191425
Fatehabad,Hasinga,226130,N,,,,,29.58675,75.619967,29.58675,75.619967
Fatehabad,Hasinga,226135,N,29.602635,75.61742,,,29.581872,75.620021,29.5922535,75.6187205
Fatehabad,Hasinga,226136,N,,,,,,,,
Fatehabad,Khariati Khera,234924,Y,29.51030167,75.35730167,,,,,29.51030167,75.35730167
Fatehabad,Khariati Khera,234925,Y,29.51012,75.35706,,,29.518224,75.341923,29.514172,75.3494915
Fatehabad,Khariati Khera,234926,Y,,,,,29.5164,75.3676,29.5164,75.3676
Fatehabad,Khariati Khera,234928,Y,,,,,29.5165,75.348305,29.5165,75.348305
Fatehabad,Khariati Khera,234929,Y,,,,,29.518025,75.342332,29.518025,75.342332
Fatehabad,Khariati Khera,234931,Y,,,,,29.5175,75.3476,29.5175,75.3476
Fatehabad,Khariati Khera,234933,Y,,,,,29.5165,75.3423,29.5165,75.3423
Fatehabad,Khariati Khera,234934,Y,29.51056333,75.35744,,,29.5126,75.3663,29.51158167,75.36187
Fatehabad,Khariati Khera,234935,Y,,,,,29.5147,75.3697,29.5147,75.3697
Fatehabad,Khariati Khera,234936,Y,,,,,29.5131,75.3669,29.5131,75.3669
Fatehabad,Lalauda,239102,Y,29.63932667,75.87447333,,,29.628752,75.861022,29.63403934,75.86774767
Fatehabad,Lalauda,239104,Y,29.3822837,75.5228215,29.640129,75.874489,29.6227,75.8778,29.5483709,75.75837017
Fatehabad,Lalauda,239110,Y,,,,,29.641218,75.892926,29.641218,75.892926
Fatehabad,Lalauda,239119,Y,29.63911667,75.87461667,,,29.621187,75.868354,29.63015184,75.87148534
Fatehabad,Lalauda,239120,Y,29.64595,75.86731,,,29.641845,75.88865,29.6438975,75.87798
Fatehabad,Lalauda,239124,Y,29.62821167,75.86922333,,,29.6272,75.8731,29.62770584,75.87116167
Fatehabad,Lalauda,239125,Y,29.63753,75.87362333,,,29.635,75.8739,29.636265,75.87376167
Fatehabad,Lalauda,239136,Y,29.63558833,75.87211833,,,29.6233,75.8748,29.62944417,75.87345917
Fatehabad,Lalauda,239138,Y,29.63760333,75.87370833,,,29.6393,75.8739,29.63845167,75.87380417
Fatehabad,Lalauda,239139,Y,29.63777333,75.87411833,,,29.6238,75.8755,29.63078667,75.87480917
Fatehabad,Nangli,251501,Y,29.615635,75.88783667,,,29.609186,75.878558,29.6124105,75.88319734
Fatehabad,Nangli,251502,Y,29.365253,75.5310979,29.614771,75.88607,29.6152,75.8689,29.53174133,75.76202263
Fatehabad,Nangli,251503,Y,29.61504833,75.88886167,,,29.627583,75.889605,29.62131567,75.88923334
Fatehabad,Nangli,251504,Y,29.61540833,75.88770833,,,29.61417389,75.88182068,29.61479111,75.88476451
Fatehabad,Nangli,251505,Y,29.61442833,75.88689333,,,29.6173,75.8855,29.61586417,75.88619667
Fatehabad,Nangli,251508,Y,,,,,29.607558,75.87907,29.607558,75.87907
Fatehabad,Nangli,251512,Y,,,,,29.6222,75.8857,29.6222,75.8857
Fatehabad,Nangli,251513,Y,29.61654,75.88446667,,,29.6211,75.8857,29.61882,75.88508334
Fatehabad,Nangli,251521,Y,29.61527167,75.88890833,,,29.677626,75.890412,29.64644884,75.88966017
Fatehabad,Nangli,251522,Y,,,,,29.6146,75.8754,29.6146,75.8754
Fatehabad,Nangli,251525,Y,,,,,29.60977,75.878428,29.60977,75.878428
Fatehabad,Nangli,251526,Y,29.614495,75.887715,,,29.6216,75.8857,29.6180475,75.8867075
Fatehabad,Nangli,251527,Y,29.61551667,75.88896333,,,29.628152,75.889979,29.62183434,75.88947117
Fatehabad,Nangli,251529,Y,29.3652646,75.5311309,29.614702,75.88577,29.601044,75.887609,29.52700353,75.76816997
Fatehabad,Shekhupur Sotar,266015,Y,29.58999333,75.56560167,,,29.35167,75.342166,29.47083167,75.45388384
Fatehabad,Shekhupur Sotar,266021,Y,29.5889,75.56533167,,,29.5847,75.5628,29.5868,75.56406584
Ludhiana,Daudpur,317402,Y,30.72495167,76.20108833,30.725344,76.200762,30.432934,76.120089,30.62774322,76.17397978
Ludhiana,Daudpur,317425,Y,30.73413667,76.1936,,,30.440299,76.113667,30.58721784,76.1536335
Ludhiana,Daudpur,317429,Y,30.72514667,76.18908667,30.725344,76.200762,30.435482,76.1137,30.62865756,76.16784956
Ludhiana,Dhandra,318803,Y,30.83026167,75.828755,,,30.841787,75.817245,30.83602434,75.823
Ludhiana,Dhandra,318809,Y,30.83057667,75.83008167,,,30.825067,75.846869,30.82782184,75.83847534
Ludhiana,Dhandra,318817,Y,30.83094,75.82797,,,30.831348,75.84697,30.831144,75.83747
Ludhiana,Dhandra,318824,Y,30.83057667,75.82762333,,,30.8282536,75.840629,30.82941514,75.83412617
Ludhiana,Dhandra,318830,Y,30.83084333,75.83200667,,,30.830951,75.846432,30.83089717,75.83921934
Ludhiana,Dhandra,318831,Y,30.83208,75.83159667,,,30.825055,75.835134,30.8285675,75.83336534
Ludhiana,Dhandra,318834,Y,,,,,30.848574,75.819683,30.848574,75.819683
Ludhiana,Gaggar Majra,322302,Y,,,,,30.738886,76.139126,30.738886,76.139126
Ludhiana,Gaggar Majra,322303,Y,30.71782833,76.145585,,,,,30.71782833,76.145585
Ludhiana,Gaggar Majra,322307,Y,30.73641167,76.13682,,,30.736724,76.132453,30.73656784,76.1346365
Ludhiana,Gaggar Majra,322316,Y,30.73576,76.13788167,30.82996064,75.83014365,30.73399,76.136482,30.76657021,76.03483577
Ludhiana,Gaggar Majra,322317,Y,30.73598833,76.13635333,,,30.735092,76.136545,30.73554017,76.13644917
Ludhiana,Gaggar Majra,322320,Y,30.71511333,76.143335,30.856711,76.32214,30.712421,76.129864,30.76141511,76.19844633
Ludhiana,Gaggar Majra,322322,Y,30.737185,76.13774333,,,30.736883,76.138365,30.737034,76.13805417
Ludhiana,Gaggar Majra,322325,Y,30.71821,76.14421167,,,30.721888,76.14908,30.720049,76.14664584
Ludhiana,Gaggar Majra,322331,Y,30.73751667,76.13770167,,,30.73423078,76.81724633,30.73587373,76.477474
Ludhiana,Gaggar Majra,322334,Y,30.71837,76.14890833,,,30.728055,76.139565,30.7232125,76.14423667
Ludhiana,Kakrala Khurd,329706,Y,30.84037667,76.26846833,,,30.84038,76.271173,30.84037834,76.26982067
Ludhiana,Kakrala Khurd,329714,Y,30.84263667,76.293075,,,,,30.84263667,76.293075
Ludhiana,Kakrala Khurd,329721,Y,30.84328,76.2933036,30.84213988,76.29135576,,,30.84270994,76.29232968
Ludhiana,Kakrala Khurd,329725,Y,30.84444333,76.272795,,,30.503057,76.165823,30.67375017,76.219309
Ludhiana,Kakrala Khurd,329728,Y,30.841505,76.29262667,,,30.834555,76.290806,30.83803,76.29171634
Ludhiana,Kakrala Khurd,329729,N,30.84504833,76.26834667,,,,,30.84504833,76.26834667
Ludhiana,Kakrala Khurd,329735,Y,30.83987333,76.268825,,,30.501555,76.161507,30.67071417,76.215166
Ludhiana,Kakrala Khurd,329738,Y,30.84440833,76.28989167,,,,,30.84440833,76.28989167
Ludhiana,Kakrala Khurd,329744,Y,30.83993333,76.26904167,,,,,30.83993333,76.26904167
Ludhiana,Mahmudpura,342101,Y,30.5008,75.5001,30.844278,75.85318,,,30.672539,75.67664
Ludhiana,Mahmudpura,342102,Y,,,,,30.835682,75.837065,30.835682,75.837065
Ludhiana,Mahmudpura,342103,Y,30.83517167,75.835705,,,30.834208,75.834865,30.83468984,75.835285
Ludhiana,Mahmudpura,342104,Y,30.83635667,75.83332833,,,30.833267,75.843237,30.83481184,75.83828267
Ludhiana,Mahmudpura,342105,Y,30.83552667,75.83266833,,,30.833668,75.839199,30.83459734,75.83593367
Ludhiana,Mahmudpura,342111,Y,30.826295,75.83272333,,,30.833635,75.842174,30.829965,75.83744867
Ludhiana,Mahmudpura,342113,Y,30.83433167,75.84060833,,,,,30.83433167,75.84060833
Ludhiana,Mahmudpura,342125,Y,30.5006896,75.5003635,30.8407,75.8328,30.83003,75.841512,30.72380653,75.72489183
Ludhiana,Sarwarpur,363604,Y,,,,,,,,
Ludhiana,Sarwarpur,363621,Y,30.79535833,76.25048667,,,30.474293,76.150244,30.63482567,76.20036534
Ludhiana,Sarwarpur,363627,Y,30.79378667,76.25073833,,,,,30.79378667,76.25073833
Ludhiana,Sarwarpur,363635,Y,30.80675,76.26760667,,,30.481598,76.16242,30.644174,76.21501334
Ludhiana,Sarwarpur,363636,Y,30.90154167,75.81658167,,,30.485765,76.162558,30.69365334,75.98956984
Ludhiana,Sarwarpur,363642,Y,30.79483667,76.25233667,,,30.47215,76.151587,30.63349334,76.20196184
Patiala,Danipur,416501,Y,30.20216,76.205545,30.2040383,76.203928,30.207672,76.20556,30.20462343,76.205011
Patiala,Danipur,416502,Y,30.2040672,76.2041931,30.20413696,76.20398186,30.208847,76.203858,30.20568372,76.20401099
Patiala,Danipur,416505,Y,30.20414667,76.204245,,,30.122157,76.123817,30.16315184,76.164031
Patiala,Danipur,416508,Y,30.1217938,76.121721,30.203525,76.204567,30.122753,76.122809,30.14935727,76.149699
Patiala,Danipur,416510,Y,30.20191833,76.20504667,,,30.208804,76.203606,30.20536117,76.20432634
Patiala,Danipur,416515,Y,30.203275,76.20480833,,,30.122559,76.12326,30.162917,76.16403417
Patiala,Danipur,416516,Y,30.199605,76.19922,,,30.199725,76.199796,30.199665,76.199508
Patiala,Danipur,416533,Y,30.20441167,76.20516333,,,30.205573,76.202417,30.20499234,76.20379017
